2017-05-16 10:32:29,672 DEBUG [cn.mldn.mapping.NewsNS] - Cache Hit Ratio [cn.mldn.mapping.NewsNS]: 0.0
2017-05-16 10:32:29,786 DEBUG [cn.mldn.mapping.NewsNS.findAllByTitle] - ==>  Preparing: SELECT nid,title,note FROM news 
2017-05-16 10:32:29,822 DEBUG [cn.mldn.mapping.NewsNS.findAllByTitle] - ==> Parameters: 
2017-05-16 10:32:29,839 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==    Columns: nid, title, note
2017-05-16 10:32:29,839 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 2, xxxx, <<BLOB>>
2017-05-16 10:32:29,843 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 3, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,844 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 4, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,844 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 5, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,844 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 6, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,844 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 7, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,845 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 8, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,845 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 9, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,845 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 10, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,846 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 11, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,846 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 12, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,846 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 13, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,846 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 14, 中午肚子饿了么？, <<BLOB>>
2017-05-16 10:32:29,846 TRACE [cn.mldn.mapping.NewsNS.findAllByTitle] - <==        Row: 15, 中午肚子饿了么？, <<BLOB>>
